NAME,B01003_001E,B19013_001E,state,county,tract
Census Tract 2327.01; Harris County; Texas,7379,38835,48,201,232701
Census Tract 2327.03; Harris County; Texas,2545,53458,48,201,232703
Census Tract 2327.04; Harris County; Texas,1823,51842,48,201,232704
Census Tract 2328.01; Harris County; Texas,2671,69492,48,201,232801
Census Tract 2328.02; Harris County; Texas,2907,54519,48,201,232802
Census Tract 2329.01; Harris County; Texas,4743,58355,48,201,232901
Census Tract 2329.02; Harris County; Texas,4669,61457,48,201,232902
Census Tract 2330.01; Harris County; Texas,4287,43542,48,201,233001
Census Tract 2330.02; Harris County; Texas,4142,79444,48,201,233002
Census Tract 2330.03; Harris County; Texas,2755,65256,48,201,233003
Census Tract 2331.01; Harris County; Texas,4502,47654,48,201,233101
Census Tract 2331.03; Harris County; Texas,5212,49380,48,201,233103
Census Tract 2331.04; Harris County; Texas,2544,45284,48,201,233104
Census Tract 2331.05; Harris County; Texas,4871,48750,48,201,233105
Census Tract 2332; Harris County; Texas,6156,61491,48,201,233200
Census Tract 2333; Harris County; Texas,4637,62973,48,201,233300
Census Tract 2334; Harris County; Texas,2787,42601,48,201,233400
Census Tract 2335.01; Harris County; Texas,3493,62720,48,201,233501
Census Tract 2335.02; Harris County; Texas,3178,71006,48,201,233502
Census Tract 2336; Harris County; Texas,2113,36218,48,201,233600
Census Tract 2337.01; Harris County; Texas,4515,55975,48,201,233701
Census Tract 2337.02; Harris County; Texas,3215,42750,48,201,233702
Census Tract 2337.03; Harris County; Texas,2672,54375,48,201,233703
Census Tract 2401.01; Harris County; Texas,2295,37238,48,201,240101
Census Tract 2401.02; Harris County; Texas,1553,33025,48,201,240102
Census Tract 2404; Harris County; Texas,7919,59000,48,201,240400
Census Tract 2405.03; Harris County; Texas,2863,40651,48,201,240503
Census Tract 2405.04; Harris County; Texas,3223,26818,48,201,240504
Census Tract 2405.05; Harris County; Texas,1375,21824,48,201,240505
Census Tract 2405.06; Harris County; Texas,5613,41536,48,201,240506
Census Tract 2406; Harris County; Texas,3638,31816,48,201,240600
Census Tract 2407.03; Harris County; Texas,5784,65445,48,201,240703
Census Tract 2407.04; Harris County; Texas,4348,106667,48,201,240704
Census Tract 2407.05; Harris County; Texas,4625,96084,48,201,240705
Census Tract 2407.06; Harris County; Texas,10532,67205,48,201,240706
Census Tract 2407.07; Harris County; Texas,5206,90380,48,201,240707
Census Tract 2408.02; Harris County; Texas,8670,70891,48,201,240802
