stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,route_ids,route_names,route_types
29.612887,0,12012,-95.509181,,,,FONDREN RD & WILLOW OAK DR,Fondren Rd @ Willow Oak Dr,0,12012,,98,98,3
29.642542,0,10709,-95.368468,,,,SCOTT ST & SOUTH ACRES DR,Scott St @ South Acres Dr,0,10709,,54,54,3
29.841278,0,10701,-95.544943,,,,GESSNER RD & CLAY RD,Gessner Rd @ Clay Rd,0,10701,,46,46,3
29.844296,0,10700,-95.544957,,,,GESSNER RD & GENARD RD,Gessner Rd @ Genard Rd,0,10700,,46,46,3
30.019122,1,10706,-95.263117,,,,TOWNSEN PR,Townsen Park & Ride,0,10706,,"257,259","257,259",3
29.965151,0,10705,-95.554345,,,,TOMBALL PKWY & MILLSVIEW RD,Tomball Pkwy @ Millsview Rd,0,10705,,44,44,3
29.949054,0,10704,-95.426414,,,,W GREENS RD & GREENS CROSSING BLVD,W Greens Rd @ Greens Crossing Blvd,0,10704,,85,85,3
29.712199,0,3519,-95.315759,,,,TELEPHONE RD & MAXWELL LN,Telephone Rd @ Maxwell Ln,0,3519,,40,40,3
29.712692,0,3518,-95.31603,,,,TELEPHONE RD & S WAYSIDE DR,Telephone Rd @ S Wayside Dr,0,3518,,40,40,3
29.705403,0,3513,-95.30735,,,,TELEPHONE RD & BROAD ST,Telephone Rd @ Broad St,0,3513,,40,40,3
29.704343,0,3512,-95.306007,,,,TELEPHONE RD & PECAN ST,Telephone Rd @ Pecan St,0,3512,,40,40,3
29.703395,0,3511,-95.304557,,,,WINKLER DR & TELEPHONE RD,Winkler Dr @ Telephone Rd,0,3511,,40,40,3
29.702591,0,3510,-95.301905,,,,WINKLER DR & HASBROOK ST,Winkler Dr @ Hasbrook St,0,3510,,40,40,3
29.711684,0,3517,-95.315287,,,,TELEPHONE RD & MAXWELL LN,Telephone Rd @ Maxwell Ln,0,3517,,40,40,3
29.707722,0,3516,-95.311982,,,,TELEPHONE RD & BEATTY ST,Telephone Rd @ Beatty St,0,3516,,40,40,3
29.707001,0,3515,-95.310224,,,,TELEPHONE RD & GOULD ST,Telephone Rd @ Gould St,0,3515,,40,40,3
29.706307,0,3514,-95.308672,,,,TELEPHONE RD & GRIGGS RD,Telephone Rd @ Griggs Rd,0,3514,,40,40,3
29.873762,0,2688,-95.327367,,,,EASTEX FREEWAY & DARWIN RD,Eastex Freeway @ Darwin Rd,0,2688,,6,6,3
29.87647,0,2689,-95.325827,,,,EASTEX FREEWAY & CEDAR HILL LN,Eastex Freeway @ Cedar Hill Ln,0,2689,,6,6,3
29.866394,0,2685,-95.331567,,,,EASTEX FREEWAY & LANGLEY RD,Eastex Freeway @ Langley Rd,0,2685,,"6,83","6,83",3
29.869002,0,2686,-95.330118,,,,EASTEX FREEWAY & E LITTLE YORK RD,Eastex Freeway @ Little York Rd,0,2686,,6,6,3
29.870918,0,2687,-95.329098,,,,EASTEX FREEWAY & LITTLECREST RD,Eastex Freeway @ Littlecrest Rd,0,2687,,6,6,3
29.724367,0,1613,-95.362158,,,,CLEBURNE ST & VELASCO,Cleburne St @ Velasco,0,1613,,4,4,3
29.655206,1,99,-95.559837,,,,ROARK RD,West Bellfort Park & Ride,0,99,,"161,265,269,292,8","161,265,269,292,8",3
29.927812,1,98,-95.499306,,,,SETON LAKE DR,Seton Lake Park & Ride,0,98,,"212,44","212,44",3
30.054341,1,91,-95.183067,,,,LAKE HOUSTON PKWY,Kingwood Park & Ride,0,91,,"255,259","255,259",3
29.927799,1,90,-95.298148,,,,OLD HUMBLE RD,Eastex Park & Ride,0,90,,"256,259,83","256,259,83",3
29.869782,1,93,-95.553165,,,,HEMPSTEAD RD,West Little York Park & Ride,0,93,,"216,219,45,46","216,219,45,46",3
29.973646,1,92,-95.425368,,,,KUYKENDAHL RD,Kuykendahl Park & Ride,0,92,,"202,209,399","202,209,399",3
29.902195,1,95,-95.594044,,,,NORTHWEST FREEWAY,Northwest Station Park & Ride,0,95,,"216,219","216,219",3
29.621839,1,97,-95.50714,,,,FONDREN RD,Fondren Transit Center,0,97,,"63,98","63,98",3
29.789211,0,13053,-95.31642,,,,CUSHING ST & LUCILLE ST,Cushing St @ Lucille St,0,13053,,"66,77","66,77",3
29.643432,0,13050,-95.46357,,,,S POST OAK RD & SAN PABLO GARDENS DR,S Post Oak Rd @ San Pablo Gardens D,0,13050,,49,49,3
29.846881,0,13054,-95.318996,,,,LOCKWOOD DR & IRELAND ST,Lockwood Dr @ Ireland St,0,13054,,80,80,3
29.869077,0,13055,-95.466405,,,,VICTORY DR & BIRCHCROFT DR,Victory Dr @ Birchcroft Dr,0,13055,,3,3,3
29.685929,1,25003,-95.403341,,,,STADIUM PARK / ASTRODOME NB,Stadium Park / Astrodome NB,0,25003_merged_11814529,,700,700,0
29.871544,0,4881,-95.330016,,,,EASTEX FREEWAY & E LITTLE YORK RD,Eastex Freeway   @ Little York Rd,0,4881_merged_11814471,,6,6,3
29.741753,0,1176,-95.34473,,,,POLK ST & SCOTT ST,Polk St @ Scott St,0,1176,,"40,41","40,41",3
