route_name,investment_priority,demand_score,route_equity_score,route_accessibility_score,rail_gap_score,population_served,investment_tier,recommended_investment
Aldine Mail,0.3137809043435246,0.0607296683766944,0.07997199586074147,0.0,10402.071504789488,414010.0,Low Priority,Enhanced Bus Service
Telephone / Heights,0.3123783458715771,0.2702515947512266,0.10390110868643838,0.09544248327523583,3854.987192444045,1109708.0,Low Priority,Enhanced Bus Service
Silver Line,0.30753737198121667,0.047212034534512434,0.10558374806877921,0.0,8160.596949087247,242796.0,Low Priority,Enhanced Bus Service
San Felipe,0.30523768990667505,0.07832607530529159,0.15529493201730868,0.05757903851427921,6105.436800569212,459082.0,Low Priority,Enhanced Bus Service
Shepherd,0.30218321875162296,0.2343212958121877,0.11200321857007652,0.07446673683603366,3947.7026082434377,665404.0,Low Priority,Enhanced Bus Service
Briargate,0.2905525172475503,0.10922939766940312,0.05587577976810231,0.0,9780.413441741932,143748.0,Low Priority,Enhanced Bus Service
Scott,0.290379022663909,0.4887147342299887,0.07866082920646558,0.13154090372150248,2918.371819853864,575700.0,Low Priority,Enhanced Bus Service
Evergreen,0.285230426791866,0.14233581766737896,0.08971520142580829,0.04818446922623325,5793.674230407139,564080.0,Low Priority,Enhanced Bus Service
Lee Road - JFK,0.2836413529806791,0.04046878387377405,0.05590837523001682,0.005620677283148553,10884.111635200516,364268.0,Low Priority,Enhanced Bus Service
Dacoma,0.2833490008166439,0.0532023365155677,0.07134150830104993,0.0,8826.138643653298,193924.0,Low Priority,Enhanced Bus Service
Canal / Memorial,0.283325216435877,0.1691821953121252,0.11040951912486054,0.08129547664430546,4782.697302937706,723688.0,Low Priority,Enhanced Bus Service
Willowbend,0.2794441491850367,0.137292535702948,0.11368365106841714,0.06770163087666113,5573.192589819553,483902.0,Low Priority,Enhanced Bus Service
Northshore Express,0.277159012225039,0.19571454445628905,0.1070790605238837,0.10368091885824238,5325.165330330014,819226.0,Low Priority,Enhanced Bus Service
Homestead,0.2762646579022733,0.05692691265341669,0.055658172050639956,0.01290182133823556,7618.127443505352,593904.0,Low Priority,Enhanced Bus Service
Broadway,0.26735425802361906,0.2099327021280808,0.10959820259831146,0.08789511389671249,4120.885299081522,406018.0,Low Priority,Enhanced Bus Service
Clay - W 43rd,0.2631605854873241,0.08268795925766279,0.08306981188655586,0.05109997980694023,8143.829188482407,392136.0,Low Priority,Enhanced Bus Service
Buffalo Speedway,0.2615714400439424,0.15571623202524043,0.10827146260203635,0.08201488622682784,4413.03037892953,488028.0,Low Priority,Enhanced Bus Service
Wayside,0.2564673852601209,0.06468570460841626,0.046643877768296566,0.014948816201684093,8316.16672159623,289560.0,Low Priority,Enhanced Bus Service
Settegast,0.2413197106650601,0.048197800175877985,0.03610010659122573,0.014664131110462072,8033.354280874131,280168.0,Low Priority,Enhanced Bus Service
